,uberID,RA,DEC,z,mstar,environment,cluster_mass,cluster_name,cluster_radius
34654,130980917208471,130.719654957891,-1.28558213296277,0.20896,74161725000.0,Field,,,
34655,134000748204991,133.878858314876,0.386688331665955,0.24052,12576578000.0,Field,,,
34656,132990302410432,133.29856519098,-0.101097148920496,0.16639,48634400000.0,Field,,,
34657,135000207204819,135.388224589056,0.370371984647709,0.18525,47468600000.0,Field,,,
34658,133980210603801,134.385245736184,-1.72537785932694,0.28261,119805805000.0,Field,,,
34659,133010641411993,132.979457719506,2.04599974080985,0.10711,20748554000.0,Field,,,
34660,130020271700739,130.72770841763702,1.98613720560474,0.17712,13253454000.0,Field,,,
34661,131010204711325,131.39087973493798,1.98305198369129,0.33678,71478534000.0,Field,,,
34662,132990330210782,133.272447157653,-0.0680135881692543,0.27654,75762730000.0,Field,,,
34663,139021090410558,138.955975863784,2.91077330471405,0.16132,10602725000.0,Field,,,
34664,136020631707186,136.38851710433997,2.59335178210981,0.22084,12678407000.0,Field,,,
34665,140001101302149,139.546284228206,0.1190681152895459,0.33242,248347870000.0,Field,,,
34666,130980979404455,130.660927659574,-1.66377057976726,0.1864,104847680000.0,Field,,,
34667,131010168400105,131.424807433244,0.926514588560598,0.0988,6207625700.0,Field,,,
34668,138021101908413,137.945181992475,2.7087783553648697,0.37999,116292300000.0,Field,,,
34669,130980925803586,130.711391197891,-1.74567948066236,0.18659,38271205000.0,Field,,,
34670,130990098705573,131.49035316418002,-0.5586466779707271,0.26953,149913520000.0,Field,,,
34671,137020987304066,137.053443491756,2.29934833065075,0.17438,49162834000.0,Field,,,
34672,137991236010245,137.419520075062,-0.118608866118857,0.29404,90754490000.0,Field,,,
34673,138020646808853,138.374196647317,2.75025677521186,0.15441,23543874000.0,Field,,,
34674,138021101307162,137.945768892843,2.59096084466081,0.31665,146115700000.0,Field,,,
34675,130980918408463,130.718447967493,-1.28652672859786,0.21187,117225870000.0,Field,,,
34676,135020971205504,135.068536298977,2.43483971410984,0.2079,27811072000.0,Field,,,
34677,135020994804991,135.046300539308,2.38650752742471,0.35184,89588646000.0,Field,,,
34678,133980110910590,134.478984929268,-1.08609087114503,0.17293,35187737000.0,Field,,,
34679,140000337603964,140.265417995425,0.28994712681862,0.158,24620812000.0,Field,,,
34680,138021221206634,137.832876450553,2.54126535586977,0.26621,109662900000.0,Field,,,
34681,133010703803163,132.920545232819,1.21447138109232,0.12894,11674812000.0,Field,,,
34682,137000477406297,137.133798293821,0.509615948397209,0.16312,38423110000.0,Field,,,
34683,135020954609833,135.084037734568,2.8424872365802205,0.19516,24886680000.0,Field,,,
34684,136020774002958,136.254372278691,2.19523276554782,0.27798,120448730000.0,Field,,,
34685,132981152803778,132.497616496768,-1.7275468603532698,0.22706,49683866000.0,Field,,,
34686,130980928004079,130.709486404435,-1.69908409872632,0.18633,26527290000.0,Field,,,
34687,130980927903671,130.709519612512,-1.73767520258973,0.13541,6970743000.0,Field,,,
34688,136020493409805,136.51887274498898,2.83996619599388,0.10576,56602993000.0,Field,,,
34689,129980059301339,130.527789440355,-1.95712508835711,0.2774,85942980000.0,Field,,,
34690,130980920007088,130.716900608651,-1.41590987520596,0.28299,52060410000.0,Field,,,
34691,137020713708948,137.311217744958,2.7592364147212702,0.31763,34752545000.0,Field,,,
34692,137990833301103,137.79863197870898,-0.9794546944430708,0.03943,8643881000.0,Field,,,
34693,138000715602604,137.909504386219,0.161838150437238,0.37271,113032060000.0,Field,,,
34694,130020278201308,130.72152767749202,2.03975290668556,0.3034,40135020000.0,Field,,,
34695,135020955411176,135.08324089086702,2.96903032597305,0.193,60649890000.0,Field,,,
34696,138021105308009,137.94209065699,2.67071579508742,0.17367,18238114000.0,Field,,,
34697,133980214404312,134.381642878232,-1.67733929806704,0.14736,9308711000.0,Field,,,
34698,136991034109592,136.60960110022,-0.1801376326440489,0.35176,115737250000.0,Field,,,
34699,133010644811808,132.976137099605,2.02855463015285,0.22038,41947620000.0,Field,,,
34700,138000698006009,137.926052965351,0.482441477223127,0.16328,16437221000.0,Field,,,
34701,128990442507005,129.166694731748,-0.423691308168692,0.16945,19283868000.0,Field,,,
34702,131010239307668,131.358154786364,1.6387362584388,0.20475,59094897000.0,Field,,,
